A '''spelling alphabet''', '''radio alphabet''', or '''telephone alphabet''' is a set of words which are used to stand for the letters of an alphabet.  Each word in the spelling alphabet typically replaces the name of the letter with which it starts (acrophony).  It is used to spell out words when speaking to someone not able to see the speaker, meaning there are no visual cues which assist the listener (the McGurk effect).  Giving one's name over the telephone is a common scenario where a spelling alphabet is often used.  Spelling alphabets are often called '''phonetic alphabets'''.  However, phonetic transcription systems such as the International Phonetic Alphabet are designed to record detailed information about the sounds of human speech. As written representations of spoken sounds, they are utterly different from spelling alphabets, which are spoken representations of written symbols.

==Voice procedure==

Spelling alphabets are especially useful when speaking in a noisy environment when clarity and promptness of communication is essential, for example during static cuts off the start of an English-language utterance of the letter ''J'', it may be mistaken for ''A'' or ''K''.  In the international radiotelephony spelling alphabet (or digit by digit; some spelling alphabets replace confusable digit names with more distinct alternatives: for example, the NATO alphabet has "niner" for 9 to distinguish it better from 5 and the German word "nein".

==History==

On the Western Front of the First World War British Army signallers developed "signalese", a way of spelling out over the landlines in use to communicate. This gave rise to phrases such as "Ack-Ack" from AA for anti-aircraft. Pip-emma for pm.

==Examples==
The following examples are from various languages and time periods:<ref>[http://www.comm-spec.com/phonetic-alphabet.php The Phonetic Alphabet] </ref>
{| class="wikitable"
Auch nach 1945 blieben diese Änderungen, mit einigen Ausnahmen, in den Nachfolgestaaten Bundesrepublik Deutschland, DDR und Österreich weitestgehend bestehen.

==Vergleichstabelle einiger aktueller Buchstabiertafeln==
{| class="prettytable" 
|-  class="hintergrundfarbe6" 
! Buchstabe
! Deutschland<br />DIN 5009
! Englisch/<br />International
! Schweiz
! Österreich
|- style="text-align:center"
! A
| Anton
| Alfa <!-- sic! -->
| Anna
| Anton
|- style="text-align:center"
! Ä
| Ärger
| –
| Äsch (Aesch)
| Ärger
|- style="text-align:center"
! B
| Berta
| Bravo 
| Berta
| Berta
|- style="text-align:center"
! C
| Cäsar
| Charlie
| Cäsar
| Cäsar
|- style="text-align:center"
! Ch
| Charlotte
| –
| –
| Christine (nicht gebräuchlich)
|- style="text-align:center"
! D
| Dora
| Delta
| Daniel
| Dora
|- style="text-align:center"
! E
| Emil
| Echo
| Emil
| Emil
|- style="text-align:center"
! F
| Friedrich
| Foxtrot <!-- sic! -->
| Friedrich
| Friedrich
|- style="text-align:center"
! G
| Gustav
| Golf 
| Gustav
| Gustav
|- style="text-align:center"
! H
| Heinrich
| Hotel
| Heinrich
| Heinrich
|- style="text-align:center"
! I
| Ida
| India 
| Ida
| Ida
|- style="text-align:center"
! J
| Julius
| Juliett<!-- nebenbei eine Spezialschreibung, gibt es in dieser Form nur beim Phonetic Spelling -->
| Jakob
| Julius
|- style="text-align:center"
! K
| Kaufmann
| Kilo 
| Kaiser
| Konrad
|- style="text-align:center"
! L
| Ludwig
| Lima  
| Leopold
| Ludwig
|- style="text-align:center"
! M
| Martha
| Mike 
| Marie
| Martha
|- style="text-align:center"
! N
| Nordpol
| November
| Niklaus
| Nordpol
|- style="text-align:center"
! O
| Otto
| Oscar  
| Otto
| Otto
|- style="text-align:center"
! Ö
| Ökonom
| – 
| Örlikon (Oerlikon)
| Österreich
|- style="text-align:center"
! P
| Paula
| Papa 
| Peter
| Paula
|- style="text-align:center"
! Q
| Quelle
| Quebec 
| Quasi
| Quelle
|- style="text-align:center"
! R
| Richard
| Romeo
| Rosa
| Richard
|- style="text-align:center"
! S
| Samuel (ungebräuchlich); <br>Siegfried (nicht amtlich, aber allgemein üblich)<!-- Nicht ändern, Artikel lesen! -->
| Sierra 
| Sophie
| Siegfried
|- style="text-align:center"
! Sch
| Schule
| –
| –
| Schule
|- style="text-align:center"
! ß
| Eszett
| –
| –
| scharfes S
|- style="text-align:center"
! T
| Theodor
| Tango  
| Theodor
| Theodor
|- style="text-align:center"
! U
| Ulrich
| Uniform 
| Ulrich
| Ulrich
|- style="text-align:center"
! Ü
| Übermut; <br>Übel (nicht amtlich)
| –
| Übermut
| Übel
|- style="text-align:center"
! V
| Viktor
| Victor  
| Viktor
| Viktor
|- style="text-align:center"
! W
| Wilhelm
| Whiskey  
| Wilhelm
| Wilhelm
|- style="text-align:center"
! X
| Xanthippe
| X-Ray 
| Xaver
| Xaver <br> (früher: Xanthippe)
|- style="text-align:center"
! Y
| Ypsilon
| Yankee
| Yverdon
| Ypsilon
|- style="text-align:center"
! Z
| Zacharias (ungebräuchlich); <br>Zeppelin (nicht amtlich, aber allgemein üblich)
| Zulu
| Zürich
| Zürich <br>(früher:Zeppelin)
|}

== International verwendete Buchstabiertafeln ==

Es gibt eine Reihe internationaler Buchstabiertafeln, zum Beispiel das ''Internationale Buchstabieralphabet'', das ''ICAO-Alphabet'' und das ''Funkalphabet der Amerikanischen Vereinigung der Funkamateure'' (ARRL).

=== Das ICAO-Alphabet (Alfa, Bravo, …) ===
Das '''ICAO-Alphabet''' ist ein seit dem 1.&nbsp;März 1956 gültiges Merkwortalphabet für den Flugfunksprachverkehr. Diese ist im Annex 10 - Volume II der Internationalen Fernmeldeunion (ITU) übernommen <ref>International Telecommunication Union, "Appendix 16: Phonetic Alphabet and Figure Code", ''Radio Regulations'' (Genf, 1959) 430-431.</ref>, erweitert um die in der ITU bereits 1947 eingeführten Doppelschlüsselwörter für Zahlen. Heute ist es normiert in Anhang 14<ref name="Anh14VOFunk">[http://life.itu.ch/radioclub/rr/ap14.htm Anhang 14] der ''Internationalen Fernmeldevertrages ist. Es wird daher auch als ITU, International, Aircraft bezeichnet. In der Seefahrt wurde das ICAO-Alphabet 1965 von der US-Militärs durch das ICAO-Alphabet ersetzt. 

Das ICAO-Alphabet ist ein wichtiger Grundstein für die Kommunikation. Neben der Verwendung im Sprechfunk dient es vielfältigen Zwecken wie der Bezeichnung von Positionen, Meldepunkten oder Schlüsselwörtern.

In den Funkdiensten, in denen ein Internationalen Fernmeldevertrag im internationalen Funkverkehr nach dem ICAO-Alphabet erfolgen. Davon ist die zivile Berufs- und Hobbyschifffahrt ebenso betroffen wie der Amateurfunkzeugnisses die Kenntnis des ICAO-Alphabets zwingend erforderlich ist, wird im Amateurfunk das ICAO-Alphabet in reiner Form nicht immer verwendet. Stattdessen wird oftmals eine Mischung aus ICAO-Alphabet, ARRL-Alphabet (hier insbesondere „Nancy“, „Queen“ und „Sugar“) und eigenen Schöpfungen („Ocean“ – in keiner anderen Buchstabiertafel enthalten) verwendet.

====Abweichende Schreibungen und Aussprachen====

Einige Schlüsselwörter werden anders geschrieben als der verwendete Begriff im Englischen: Der Grund für die abweichende Schreibung „Juliett“ (anstatt „Juliet“) liegt darin, dass frankophone Sprecher sonst auf die Idee kommen könnten, das „t“ sei stumm. Aus ähnlichem Grund wird auch „Alfa“ statt „Alpha“ geschrieben, weil nicht in allen Sprachen die Aussprache von „ph“ wie „f“ selbstverständlich ist. 

Zur Vermeidung von Ausspracheproblemen und Missverständnissen werden einige Ziffern von der Schreibung abweichend ausgesprochen <ref name="Anh14VOFunk" /><ref name="SMCP">[http://www.pfri.hr/smcp/smcp.pdf Standard Marine Communication Phrases] der IMO</ref><ref>[http://www.faa.gov/airports_airtraffic/air_traffic/publications/atpubs/ATC/Chp2/atc0204.html#2-4-16 ICAO Phonetics by the FAA]</ref>: Die Schlüsselwörter für „4“ und „9“ werden zweisilbig ausgesprochen, also „fower“ ([foʊɝ] oder [fɑʊɝ]) statt „four“ ([fɔː(ɹ)]) bzw. „niner“ ([naɪnɝ]) statt „nine“ ([naɪn]), und die „th“ bei „3“ und „1000“ werden durch "t" ersetzt ([tɹiː] statt [θɹiː] und [tɑʊzənd] statt [θɑʊzənd]).

Eine weitere Regel gibt es für das Dezimaltrennzeichen, ganz gleich ob es ein Punkt oder ein Komma ist, wird es stets „''Decimal''“ ausgesprochen. Der Punkt als Satzzeichen dagegen wird durch das Schlüsselwort „''Stop''“ wiedergegeben.<ref name="Anh14VOFunk" />

Die korrekte Schreibung und Aussprache ist folgendermaßen festgelegt:

{| class="prettytable" style="float:left"
|-  class="hintergrundfarbe6" 
! Ziffer/<br />Buchstabe || Wort || Aussprache (IPA)
|- style="text-align:center"
| 0 || Zero || [ˈziːɹoʊ]
|- style="text-align:center"
| 1 || One || [wʌn]
|- style="text-align:center"
| 2 || Two || [tuː]
|- style="text-align:center"
| 3 || Three || [tɹiː]
|- style="text-align:center"
| 4 || Four || [foʊɝ] oder [fɑʊɝ]
|- style="text-align:center"
| 5 || Five || [faɪf]
|- style="text-align:center"
| 6 || Six || [sɪks]
|- style="text-align:center"
| 7 || Seven || [ˈsɛvən]
|- style="text-align:center"
| 8 || Eight || [eɪt]
|- style="text-align:center"
| 9 || Nine || [ˈnaɪnɝ]
|- style="text-align:center"
| A || Alfa || [ˈælfə]
|- style="text-align:center"
| B || Bravo || [ˈbɹɑvoʊ]
|- style="text-align:center"
| C || Charlie || [ˈtʃɑɹliː]
|- style="text-align:center"
| D || Delta || [ˈdɛltɑ]
|- style="text-align:center"
| E || Echo || [ˈɛkoʊ]
|- style="text-align:center"
| F || Foxtrot || [ˈfɔːkstɹɔːt]
|- style="text-align:center"
| G || Golf || [gɔːlf]
|- style="text-align:center"
| H || Hotel || [hoʊ.ˈtɛl]
|- style="text-align:center"
|}

{| class="prettytable" style="float:left"
|- class="hintergrundfarbe6" 
! Ziffer/<br />Buchstabe || Wort || Aussprache (IPA)
|- style="text-align:center"
| I || India || [ˈɪndiː.ˌə]
|- style="text-align:center"
| J || Juliett || [ˈdʒuːliː.ˌɛt]
|- style="text-align:center"
| K || Kilo || [ˈkiːloʊ]
|- style="text-align:center"
| L || Lima || [ˈliːmə]
|- style="text-align:center"
| M || Mike || [maɪk]
|- style="text-align:center"
| N || November || [noʊ.ˈvɛmˌbɝ]
|- style="text-align:center"
| O || Oscar || [ˈɔːskə]
|- style="text-align:center"
| P || Papa || [pɑ.ˈpɑ]
|- style="text-align:center"
| Q || Quebec || [kɛ.ˈbɛk]
|- style="text-align:center"
| R || Romeo || [ˈɹoʊmiː.ˌoʊ]
|- style="text-align:center"
| S || Sierra || [siː.ˈɛˌɹə]
|- style="text-align:center"
| T || Tango || [ˈtæŋgoʊ]
|- style="text-align:center"
| U || Uniform || [ˈjuːniː.ˌfɔɹm]
|- style="text-align:center"
| V || Victor || [ˈvɪktə]
|- style="text-align:center"
| W || Whiskey || [ˈwɪskiː]
|- style="text-align:center"
| X || X-ray || [ˈɛksɹeɪ]
|- style="text-align:center"
| Y || Yankee || [ˈjæŋkiː]
|- style="text-align:center"
| Z || Zulu || [ˈzuːluː]
|}

{| class="prettytable" style="float:left"
|+ Zifferncodes der ITU
|- class="hintergrundfarbe6"
!Ziffer||Wort||Aussprache (IPA)
|- style="text-align:center"
|0||Nadazero|| [nɑdə ziːɹoʊ]
|- style="text-align:center"
|1||Unaone||[unə wʌn]
|- style="text-align:center"
|2||Bissotwo||[bɪso tuː]
|- style="text-align:center"
|3||Terrathree||[tɛɹə tɹiː]
|- style="text-align:center"
|4||Kartefour||[kɑɹtə fɑʊɝ]
|- style="text-align:center"
|5||Pantafive||[pɑntə faɪf]
|- style="text-align:center"
|6||Soxisix||[soksɪ sɪks]
|- style="text-align:center"
|7||Setteseven||[sɛtə sɛvən]
|- style="text-align:center"
|8||Oktoeight||[ɔkto eɪt]
|- style="text-align:center"
|9||Novenine||[novə naɪnɝ]
|- style="text-align:center"
|1000||Thousand||[tɑʊzənd]
|}
<div style="clear:both"></div>
